ranking,popularity,num_scoring_users,rank,num_episodes,rating,title,average_episode_duration,source,media_type,id,status,num_list_users,mean,nsfw,start_year
{'rank': 1},174,557383,1,28,manga,Sousou no Frieren,1470,manga,tv,52991,finished_airing,969659,9.32,white,2023.0
{'rank': 2},3,2177476,2,64,manga,Fullmetal Alchemist: Brotherhood,1460,manga,tv,5114,finished_airing,3450629,9.1,white,2009.0
{'rank': 3},2699,55164,3,1,light_novel,One Piece Fan Letter,1495,light_novel,tv_special,60022,finished_airing,71645,9.1,white,2024.0
{'rank': 4},14,1437504,4,24,visual_novel,Steins;Gate,1460,visual_novel,tv,9253,finished_airing,2643794,9.07,white,2011.0
{'rank': 5},21,1650676,5,10,manga,Shingeki no Kyojin Season 3 Part 2,1435,manga,tv,38524,finished_airing,2377593,9.05,white,2019.0
{'rank': 6},340,258449,6,51,manga,Gintama°,1440,manga,tv,28977,finished_airing,651212,9.05,white,2015.0
{'rank': 7},1537,76806,7,1,manga,Gintama: The Final,6240,manga,movie,39486,finished_airing,160580,9.04,white,2021.0
{'rank': 8},399,243953,8,51,manga,Gintama',1460,manga,tv,9969,finished_airing,574957,9.03,white,2011.0
{'rank': 9},8,1830036,9,148,manga,Hunter x Hunter (2011),1417,manga,tv,11061,finished_airing,2946977,9.03,white,2011.0
{'rank': 10},753,169926,10,13,manga,Gintama': Enchousen,1460,manga,tv,15417,finished_airing,335259,9.02,white,2012.0
{'rank': 11},382,314548,11,13,manga,Bleach: Sennen Kessen-hen,1471,manga,tv,41467,finished_airing,598573,9.01,white,2022.0
{'rank': 12},758,81769,12,110,novel,Ginga Eiyuu Densetsu,1560,novel,ova,820,finished_airing,334113,9.01,white,1988.0
{'rank': 13},170,560778,13,13,manga,Kaguya-sama wa Kokurasetai: Ultra Romantic,1439,manga,tv,43608,finished_airing,991218,8.99,white,2022.0
{'rank': 14},1422,37250,14,14,manga,Bleach: Sennen Kessen-hen - Soukoku-tan,1478,manga,tv,56784,currently_airing,174251,8.98,white,2024.0
{'rank': 15},780,150577,15,12,manga,Gintama.,1440,manga,tv,34096,finished_airing,325036,8.98,white,2017.0
{'rank': 16},464,251454,16,13,manga,Fruits Basket: The Final,1380,manga,tv,42938,finished_airing,506701,8.96,white,2021.0
{'rank': 17},120,672492,17,24,visual_novel,Clannad: After Story,1460,visual_novel,tv,4181,finished_airing,1222370,8.93,white,2008.0
{'rank': 18},144,405209,18,201,manga,Gintama,1494,manga,tv,918,finished_airing,1095168,8.93,white,2006.0
{'rank': 19},20,1670990,19,1,manga,Koe no Katachi,7803,manga,movie,28851,finished_airing,2420869,8.93,white,2016.0
{'rank': 20},582,204756,20,22,manga,3-gatsu no Lion 2nd Season,1500,manga,tv,35180,finished_airing,413737,8.91,white,2017.0
{'rank': 21},47,1226082,21,25,original,Code Geass: Hangyaku no Lelouch R2,1440,original,tv,2904,finished_airing,1835605,8.91,white,2008.0
{'rank': 22},1027,138378,22,1,manga,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,6600,manga,movie,15335,finished_airing,247123,8.9,white,2013.0
{'rank': 23},1226,99434,23,14,manga,Gintama. Shirogane no Tamashii-hen - Kouhan-sen,1440,manga,tv,37491,finished_airing,206972,8.88,white,2018.0
{'rank': 24},452,264499,24,24,light_novel,Kusuriya no Hitorigoto,1370,light_novel,tv,54492,finished_airing,513817,8.88,white,2023.0
{'rank': 25},126,448588,25,74,manga,Monster,1440,manga,tv,19,finished_airing,1188430,8.88,white,2004.0
{'rank': 26},588,199053,26,7,light_novel,Owarimonogatari 2nd Season,1350,light_novel,tv_special,35247,finished_airing,412269,8.87,white,2017.0
{'rank': 27},292,427399,27,2,manga,Shingeki no Kyojin: The Final Season - Kanketsu-hen,4375,manga,tv_special,51535,finished_airing,721458,8.87,white,2023.0
{'rank': 28},343,296778,28,1,light_novel,Violet Evergarden Movie,8400,light_novel,movie,37987,finished_airing,649063,8.85,white,2020.0
{'rank': 29},11,1959640,29,1,original,Kimi no Na wa.,6391,original,movie,32281,finished_airing,2835877,8.83,white,2016.0
{'rank': 30},2034,44578,30,26,manga,Kingdom 3rd Season,1507,manga,tv,40682,finished_airing,111651,8.83,white,2020.0
{'rank': 31},1167,108280,31,12,manga,Gintama. Shirogane no Tamashii-hen,1440,manga,tv,36838,finished_airing,220432,8.81,white,2018.0
{'rank': 32},313,371596,32,24,manga,Vinland Saga Season 2,1555,manga,tv,49387,finished_airing,691938,8.81,white,2023.0
{'rank': 33},74,1008255,33,13,web_manga,Mob Psycho 100 II,1450,web_manga,tv,37510,finished_airing,1598412,8.79,white,2019.0
{'rank': 34},139,612528,34,23,manga,Jujutsu Kaisen 2nd Season,1435,manga,tv,51009,finished_airing,1103026,8.78,white,2023.0
{'rank': 35},492,279796,35,1,light_novel,Kizumonogatari III: Reiketsu-hen,4980,light_novel,movie,31758,finished_airing,479969,8.78,white,2017.0
{'rank': 36},33,1388901,36,16,manga,Shingeki no Kyojin: The Final Season,1435,manga,tv,40028,finished_airing,2093335,8.78,white,2020.0
{'rank': 37},1113,125513,37,13,manga,Boku no Kokoro no Yabai Yatsu 2nd Season,1384,manga,tv,55690,finished_airing,230632,8.78,gray,2024.0
